Name,Position,Joined,Height,Weight,College,Number,Status,DraftYear,DraftRound,DraftPick,ProBowls,Achievements,Info,ImageURL
Dak Prescott,QB,2016,6-2,238,Mississippi State,4,Active,2016,4,135,2,2x Pro Bowl; 2019 NFL passing yards leader,Starting quarterback known for leadership and consistency. Led Cowboys to multiple playoff appearances.,
CeeDee Lamb,WR,2020,6-2,198,Oklahoma,88,Active,2020,1,17,2,2x Pro Bowl; 2023 All-Pro; Led NFL in receptions 2023,Elite receiver with exceptional route running and hands. One of the top receivers in the NFL.,
Micah Parsons,LB,2021,6-3,245,Penn State,11,Active,2021,1,12,3,2021 NFL Defensive Rookie of the Year; 3x Pro Bowl; 2x All-Pro,Defensive powerhouse and versatile pass rusher. Game-changing defender.,
Trevon Diggs,CB,2020,6-1,205,Alabama,7,Active,2020,2,51,1,Led NFL in interceptions 2021 (11 INTs); Pro Bowl 2021,Ball-hawking cornerback with elite interception skills.,
Zack Martin,OG,2014,6-4,315,Notre Dame,70,Active,2014,1,16,9,9x Pro Bowl; 8x All-Pro; NFL 2010s All-Decade Team,Perennial All-Pro offensive guard. One of the best linemen in NFL history.,
Tyron Smith,OT,2011,6-5,320,USC,77,Active,2011,1,9,8,8x Pro Bowl; 5x All-Pro; NFL 2010s All-Decade Team,Elite left tackle protecting the blind side.,
DaRon Bland,CB,2022,6-0,195,Fresno State,26,Active,2022,5,167,1,NFL record 5 pick-sixes in 2023; Pro Bowl 2023,Breakout cornerback with historic interception return touchdown streak.,
Jake Ferguson,TE,2022,6-5,250,Wisconsin,87,Active,2022,4,129,0,Emerging tight end,Reliable pass-catching tight end.,
Tyler Smith,OL,2022,6-5,325,Tulsa,73,Active,2022,1,24,0,Starting guard,Young offensive lineman with tremendous upside.,
Brandin Cooks,WR,2014,5-10,183,Oregon State,3,Active,2014,1,20,0,6 consecutive 1000-yard seasons,Veteran speedster and deep threat.,
DeMarcus Lawrence,DE,2014,6-3,265,Boise State,90,Active,2014,2,34,2,2x Pro Bowl; Multiple sack leader,Veteran defensive end and team leader.,
Terence Steele,OT,2020,6-6,310,Texas Tech,78,Active,2020,0,0,0,Undrafted success,Starting offensive tackle.,
Tyler Biadasz,C,2020,6-4,316,Wisconsin,63,Active,2020,4,146,0,Starting center,Solid center anchoring the line.,
Donovan Wilson,S,2019,6-0,205,Texas A&M,6,Active,2019,6,213,0,Hard-hitting safety,Physical safety known for big hits.,
Jourdan Lewis,CB,2017,5-10,188,Michigan,2,Active,2017,3,92,0,Reliable slot corner,Scrappy cornerback excelling in slot.,
KaVontae Turpin,WR,2022,5-9,153,TCU,9,Active,2022,0,0,1,All-Pro returner 2022; Pro Bowl 2022,Electrifying return specialist.,
Sam Williams,DE,2022,6-4,265,Ole Miss,54,Active,2022,2,56,0,Emerging pass rusher,Young defensive end with high motor.,
Stephon Gilmore,CB,2023,6-1,190,South Carolina,21,Active,2012,1,10,5,5x Pro Bowl; 2019 Defensive Player of the Year; Super Bowl champion,Veteran All-Pro corner.,
Rico Dowdle,RB,2020,6-0,215,South Carolina,23,Active,2020,0,0,0,Undrafted running back,Hard-running backup.,
Jalen Tolbert,WR,2022,6-1,194,South Alabama,1,Active,2022,3,88,0,Developing receiver,Third-round pick working to increase role.,
Luke Schoonmaker,TE,2023,6-6,251,Michigan,86,Active,2023,2,58,0,Rookie tight end,Second-round pick adding depth.,
DeMarvion Overshown,LB,2023,6-4,224,Texas,0,Active,2023,3,90,0,Rookie linebacker,Versatile linebacker with sideline-to-sideline speed.,
Mazi Smith,DT,2023,6-3,323,Michigan,58,Active,2023,1,26,0,Rookie nose tackle,First-round pick to anchor run defense.,
Jalen Brooks,WR,2023,6-1,193,South Carolina,10,Active,2023,7,0,0,Rookie receiver,Seventh-round pick competing for roster spot.,
Chuma Edoga,OT,2019,6-3,308,USC,75,Active,2019,3,92,0,Backup lineman,Versatile offensive line depth.,
Chauncey Golston,DE,2021,6-5,269,Iowa,59,Active,2021,3,84,0,Rotational defensive end,Third-round pick providing depth.,
Nahshon Wright,CB,2021,6-4,190,Oregon State,40,Active,2021,3,99,0,Developmental corner,Long cornerback with upside.,
Israel Mukuamu,S,2021,6-4,205,South Carolina,24,Active,2021,6,227,0,Backup safety,Versatile defensive back.,
Markquese Bell,S,2022,6-2,212,Florida A&M,27,Active,2022,7,238,0,Special teams ace,Seventh-round safety contributing on special teams.,
Deuce Vaughn,RB,2023,5-6,179,Kansas State,42,Active,2023,6,212,0,Smallest player,Undersized but explosive running back.,
Asim Richards,OT,2021,6-6,318,North Carolina,74,Active,2021,7,238,0,Practice squad,Developmental offensive tackle.,
Tony Pollard,RB,2019,6-0,210,Memphis,20,Former,2019,4,128,1,Pro Bowl 2022,Dynamic running back. Left for Titans in 2024.,
Ezekiel Elliott,RB,2016,6-0,228,Ohio State,21,Former,2016,1,4,3,3x Pro Bowl; 2x NFL rushing leader; 2016 Offensive Rookie of the Year,Franchise running back. Departed after 2022 season.,
Amari Cooper,WR,2018,6-1,210,Alabama,19,Former,2015,1,4,5,5x Pro Bowl; Traded from Raiders 2018,Elite receiver traded to Browns in 2022.,
Leighton Vander Esch,LB,2018,6-4,256,Boise State,55,Former,2018,1,19,1,Pro Bowl 2018; First-team All-Pro 2018,Talented linebacker battling injuries. Left after 2022.,
Byron Jones,CB,2015,6-1,205,Connecticut,31,Former,2015,1,27,1,Pro Bowl 2018,Shutdown corner who left for Dolphins in 2020.,
Jaylon Smith,LB,2016,6-2,245,Notre Dame,54,Former,2016,2,34,0,Comeback from injury,Talented LB who recovered from knee injury. Released 2021.,
Sean Lee,LB,2010,6-2,245,Penn State,50,Former,2010,2,55,2,2x Pro Bowl; Walter Payton Man of the Year nominee,Longtime Cowboys linebacker. Retired 2020.,
Travis Frederick,C,2013,6-4,312,Wisconsin,72,Former,2013,1,31,5,5x Pro Bowl; First-team All-Pro 2016,Elite center who retired early due to illness in 2020.,
Jason Witten,TE,2003,6-6,263,Tennessee,82,Former,2003,3,69,11,11x Pro Bowl; 2x All-Pro; Walter Payton Man of the Year 2012,Future Hall of Fame tight end. Retired 2020.,
Dez Bryant,WR,2010,6-2,220,Oklahoma State,88,Former,2010,1,24,3,3x Pro Bowl; First-team All-Pro 2014,Star receiver of 2010s. Left after 2017.,
DeMarcus Ware,LB,2005,6-4,258,Troy,94,Former,2005,1,11,9,2x NFL sacks leader; 9x Pro Bowl; 7x All-Pro; Hall of Fame 2023,Legendary pass rusher. Franchise sack leader. Left after 2013.,
Marion Barber III,RB,2005,5-11,218,Minnesota,24,Former,2005,4,109,1,Pro Bowl 2007,Bruising running back. Played until 2010. Passed away 2022.,
Roy Williams,S,2002,6-0,222,Oklahoma,31,Former,2002,1,8,5,5x Pro Bowl,Hard-hitting safety of 2000s. Played until 2008.,
Terrell Owens,WR,2006,6-3,224,Tennessee-Chattanooga,81,Former,1996,3,89,6,6x Pro Bowl; Hall of Fame 2018,Hall of Fame receiver. Played for Cowboys 2006-2008.,
Terence Newman,CB,2003,5-11,192,Kansas State,41,Former,2003,1,5,0,Consistent corner,Starting cornerback 2003-2011.,
Flozell Adams,OT,1998,6-7,335,Michigan State,76,Former,1998,2,41,5,5x Pro Bowl,Longtime left tackle 1998-2009.,
Larry Allen,OG,1994,6-3,325,Sonoma State,73,Former,1994,2,46,11,11x Pro Bowl; 10x All-Pro; Hall of Fame 2013,One of greatest guards ever. Played until 2005.,
Darren Woodson,S,1992,6-1,219,Arizona State,28,Former,1992,2,37,5,5x Pro Bowl; Cowboys Ring of Honor,Hard-hitting safety of 1990s dynasty. Retired 2003.,
Emmitt Smith,RB,1990,5-9,209,Florida,22,Former,1990,1,17,8,NFL all-time leading rusher; 8x Pro Bowl; Hall of Fame 2010,Greatest Cowboys RB. Played until 2002.,
Troy Aikman,QB,1989,6-4,228,UCLA,8,Former,1989,1,1,6,6x Pro Bowl; 3x Super Bowl champion; Hall of Fame 2006,Legendary QB of 1990s dynasty. Retired 2000.,
Michael Irvin,WR,1988,6-2,207,Miami,88,Former,1988,1,11,5,5x Pro Bowl; 3x Super Bowl champion; Hall of Fame 2007,Hall of Fame receiver. Retired 2000.,
Deion Sanders,CB,1995,6-1,198,Florida State,21,Former,1989,1,5,8,8x Pro Bowl; Hall of Fame 2011,Prime Time. Played for Cowboys 1995-1999.,
Charles Haley,DE,1992,6-5,255,James Madison,94,Former,1986,4,96,5,5x Pro Bowl; Hall of Fame 2015,Only player with 5 Super Bowl rings. Played for Cowboys 1992-1996.,
Tony Romo,QB,2003,6-2,230,Eastern Illinois,9,Former,2003,0,0,4,4x Pro Bowl; Cowboys passing leader,Undrafted QB who became star. Retired 2017.,
La'el Collins,OG,2015,6-4,320,LSU,71,Former,2015,0,0,0,Undrafted guard,Talented guard who left in 2022.,
Connor Williams,OG,2018,6-5,298,Texas,52,Former,2018,2,50,0,Former starting guard,Second-round pick who left in 2022.,
Randy Gregory,DE,2015,6-5,255,Nebraska,94,Former,2015,2,60,0,Pass rushing talent,Talented but troubled edge rusher. Left 2022.,
Taco Charlton,DE,2017,6-6,277,Michigan,97,Former,2017,1,28,0,First-round bust,Disappointing first-round pick. Released 2019.,
Morris Claiborne,CB,2012,6-0,188,LSU,24,Former,2012,1,6,0,Top pick who struggled,Sixth overall pick who underwhelmed. Left 2017.,
Anthony Spencer,LB,2007,6-3,258,Purdue,93,Former,2007,1,26,1,Pro Bowl 2012,Solid linebacker 2007-2013.,
Jay Ratliff,DT,2005,6-4,303,Auburn,90,Former,2005,7,224,4,4x Pro Bowl,Dominant nose tackle. Left after 2012.,
Keith Brooking,LB,2009,6-2,242,Georgia,51,Former,1998,1,12,5,5x Pro Bowl with Falcons,Veteran linebacker 2009-2011.,
Miles Austin,WR,2006,6-2,215,Monmouth,19,Former,2006,0,0,2,2x Pro Bowl,Undrafted receiver who had breakout years 2009-2010.,
Laurent Robinson,WR,2011,6-2,199,Illinois State,81,Former,2007,3,75,0,One great season,Had career year in 2011 then left.,
Felix Jones,RB,2008,5-10,207,Arkansas,28,Former,2008,1,22,0,Change-of-pace back,First-round RB 2008-2012.,
Tashard Choice,RB,2008,5-10,215,Georgia Tech,23,Former,2008,4,122,0,Backup running back,Fourth-round backup 2008-2011.,
Patrick Crayton,WR,2004,6-1,205,Northwestern State,87,Former,2004,7,216,0,Reliable receiver,Seventh-round pick who contributed 2004-2010.,
Julius Jones,RB,2004,5-10,214,Notre Dame,21,Former,2004,2,43,0,Starting RB,Second-round pick who started 2004-2007.,
Drew Bledsoe,QB,2005,6-5,238,Washington State,11,Former,1993,1,1,4,4x Pro Bowl; came from Patriots,Veteran QB who bridged to Romo in 2006.,
Quincy Carter,QB,2001,6-2,215,Georgia,17,Former,2001,2,53,0,Starter 2001-2003,Starting QB before Romo. Released 2004.,
Joey Galloway,WR,2000,5-11,188,Ohio State,83,Former,1995,1,8,2,Speedster traded from Seattle,Deep threat acquired in 2000. Left 2002.,
Rocket Ismail,WR,2000,5-10,175,Notre Dame,81,Former,1991,4,100,0,Former CFL star,Veteran receiver in 2000-2001.,
Troy Hambrick,RB,2000,6-1,233,Savannah State,33,Former,2000,4,122,0,Backup to Emmitt,Fourth-round RB who backed up Emmitt 2000-2004.,
Richie Anderson,RB,2004,6-2,230,Penn State,34,Former,1993,6,169,0,Veteran fullback,Blocking back in 2004.,
Dat Nguyen,LB,1999,5-11,231,Texas A&M,59,Former,1999,3,85,0,Fan favorite,Starting LB 1999-2005. First Vietnamese-American NFL player.,
Greg Ellis,DE,1998,6-5,270,North Carolina,98,Former,1998,1,8,1,Pro Bowl 2007,Longtime pass rusher 1998-2008.,
